D,sigma_V,sigma_U,lambda,kernel,train rmse,test rmse
5,0.1,0.5,1,Gaussian,0.898783413359217,0.915787105546068
5,0.1,1,0.5,Gaussian,0.908770071997071,0.918700191201228
5,0.1,0.5,0.5,Gaussian,0.910625360665885,0.921621731520338
5,0.1,1,1,Gaussian,0.910272789510018,0.925042746215628
5,0.1,1,1,Linear,0.910646554215073,0.927493712191232
5,0.1,0.5,1,Linear,0.909922085331392,0.928829528578349
5,0.1,1,0.5,Linear,0.920519100302303,0.930013988672585
10,0.1,0.5,1,Gaussian,0.914219439232572,0.93310267241212
5,0.1,0.5,0.5,Linear,0.925308124798077,0.935994420662568
5,0.5,1,0.5,Gaussian,0.924455610007728,0.936186067061
10,0.1,1,1,Gaussian,0.920991387133177,0.937235015136082
5,0.5,1,1,Gaussian,0.923501995543008,0.939993076992638
10,0.1,1,0.5,Gaussian,0.929689442446432,0.940109210273309
5,0.5,0.5,1,Gaussian,0.923077780053619,0.940508220777747
10,0.1,1,1,Linear,0.926149339461696,0.940772339253592
10,0.1,0.5,1,Linear,0.926464443956445,0.944531506734887
5,0.5,1,1,Linear,0.925019761957455,0.945696446728893
10,0.1,0.5,0.5,Gaussian,0.937054767936147,0.949719505291687
10,0.1,1,0.5,Linear,0.937749316976142,0.949932249187181
5,0.5,1,0.5,Linear,0.938201264517633,0.953039812966924
5,0.5,0.5,0.5,Gaussian,0.944353622054765,0.95581882034106
5,0.5,0.5,1,Linear,0.935509354371625,0.956524190574168
10,0.1,0.5,0.5,Linear,0.946857531422935,0.960033612653222
5,0.5,0.5,0.5,Linear,0.960693913412822,0.970486409775696
10,0.5,1,1,Gaussian,0.970949461083135,0.988699126074996
10,0.5,1,1,Linear,0.977600267608035,0.99577635274324
10,0.5,1,0.5,Gaussian,0.98908724108255,1.00225376494018
10,0.5,0.5,1,Gaussian,0.990996323760633,1.00832987959115
10,0.5,1,0.5,Linear,1.00977002017641,1.0223096231167
10,0.5,0.5,1,Linear,1.01722560940029,1.03476683592337
10,0.5,0.5,0.5,Gaussian,1.04757621256265,1.05838252612402
10,0.5,0.5,0.5,Linear,1.06781817362887,1.07635197932805
